IdentifierDOI	Title	Abstract	DateIssued	RelatedTitle
10.1002/elps.201100059	A novel approach to dielectrophoresis using carbon electrodes	Carbon-electrode dielectrophoresis (carbon-DEP) is demonstrated here as an alternative to more traditional DEP techniques. Carbon-DEP combines advantages of metal-electrode and insulator-based DEP by using low-cost fabrication techniques and low voltages for particle manipulation. The use of 3-D electrodes is proved to yield significant advantages over the use of traditional planar electrodes. This paper details the fabrication of dense arrays of tall high aspect ratio carbon electrodes on a transparent fused-silica substrate. The shrinkage of the SU-8 structures during carbonization is characterized and a design tool for future devices is provided. Applications of carbon electrodes in DEP are then detailed and include particle positioning, high-throughput filtering and cell focusing using positive-DEP. Manipulated cells include Saccharomyces cerevisiae and Drosophila melanogaster. The advantages and disadvantages of carbon-DEP are discussed at the end of this work.	2011-01-01	ELECTROPHORESIS
10.1021/acs.nanolett.9b03844	Gap-Plasmon-Enhanced High-Spatial-Resolution Imaging by Photothermal-Induced Resonance in the Visible Range	Chemical characterization at the nanoscale is of significant importance for many applications in physics, analytical chemistry, material science, and biology. Despite the intensive studies in the infrared range, high-spatial resolution and high-sensitivity imaging for compositional identification in the visible range is rarely exploited. In this work, we present a gap-plasmon-enhanced imaging approach based on photothermal-induced resonance (PTIR) for nano scale chemical identification. With this approach, we experimentally obtained a high spatial resolution of similar to 5 nm for rhodamine nanohill characterization and achieved mono-layer sensitivity for mapping the single-layer chlorophyll-a islands with the thickness of only 1.9 nm. We also successfully characterized amyloid fibrils stained with methylene blue dye, indicating that this methodology can be also utilized for identification of the radiation-insensitive macromolecules. We believe that our proposed high-performance visible PTIR system can be used to broaden the applications of nanoscale chemical identification ranging from nanomaterial to life science areas.	2019-11-01	Nano Letters
10.3389/fenrg.2020.573290	Grid-Aware Layout of Photovoltaic Panels in Sustainable Building Energy Systems	In the context of increasing concern for anthropogenic CO2 emissions, the residential building sector still represents a major contributor to energy demand. The integration of renewable energy sources, and particularly of photovoltaic (PV) panels, is becoming an increasingly widespread solution for reducing the carbon footprint of building energy systems (BES). However, the volatility of the energy generation and its mismatch with the typical demand patterns are cause for concern, particularly from the viewpoint of the management of the power grid. This paper aims to show the influence of the orientation of photovoltaic panels in designing new BES and to provide support to the decision making process of optimal PV placing. The subject is addressed with a mixed integer linear optimization problem, with costs as objectives and the installation, tilt, and azimuth of PV panels as the main decision variables. Compared with existing BES optimization approaches reported in literature, the contribution of PV panels is modeled in more detail, including a more accurate solar irradiation model and the shading effect among panels. Compared with existing studies in PV modeling, the interaction between the PV panels and the remaining units of the BES, including the effects of optimal, scheduling is considered. The study is based on data from a residential district with 40 buildings in western Switzerland. The results confirm the relevant influence of PV panels’ azimuth and tilt on the performance of BES. Whereas south-orientation remains the most preferred choice, west-orientationed panels better match the demand when compared with east-orientationed panels. Apart from the benefits for individual buildings, an appropriate choice of orientation was shown to benefit the grid: rotating the panels 20° westwards can, together with an appropriate scheduling of the BES, reduce the peak power of the exchange with the power grid by 50% while increasing total cost by only 8.3%. Including the more detailed modeling of the PV energy generation demonstrated that assuming horizontal surfaces can lead to inaccuracies of up to 20% when calculating operating expenses and electricity generated, particularly for high levels of PV penetration.	2021-02-18	Frontiers in Energy Research
10.1016/j.sna.2003.07.007	A low-cost inductive proximity sensor for industrial applications	In this paper,we present an inductive proximity sensor with fully integrated electronics. The sensor with the compact hybrid configuration is composed of a sensing flat coil and an integrated electronic interface. We focused during the development on the temperature stability and robustness of the sensor by keeping its low-fabrication cost. The sensor exhibits a longitudinal resolution of 120 nm for an aluminum target position up to 500um from the sensing coil with the side size of 3.5 mm. The temperature drift of the sensor is less than 700 ppm/◦C for the same range of the target position. The total working range is from 100 to 1500um. The sensor power consumption is 100mW and the active sensor dimensions are 3.5mm×3.5mm×1.2 mm.We also showed the facility of the sensor packaging. This kind of integrated sensor has the potential for even more industrial applications.	2004-01-01	Sensors and Actuators A
10.1167/17.1.23	What is new in perceptual learning?	What is new in perceptual learning? In the early days of research, specificity was the hallmark of perceptual learning; that is, improvements following training were limited to the trained stimulus features. For example, training with a stimulus improves performance for this stimulus but not for the same stimulus when rotated by 908 (Ball & Sekuler, 1987; Spang, Grimsen, Herzog, & Fahle, 2010). Because of this specificity, learning was thought to be mediated by neural changes at the early stages of vision. In the last decade, many procedures were discovered in which transfer occurs from trained to untrained conditions under certain conditions. The location of learning is now often thought to occur in higher stage of vision and decision-making. This special issue shows how the field has progressed along these lines.	2017-01-01	Journal of Vision
10.5194/acp-20-3249-2020	Aerosol pH and liquid water content determine when particulate matter is sensitive to ammonia and nitrate availability	Nitrogen oxides (NOx) and ammonia (NH3) from anthropogenic and biogenic emissions are central contributors to particulate matter (PM) concentrations worldwide. The response of PM to changes in the emissions of both compounds is typically studied on a case-by-case basis, owing in part to the complex thermodynamic interactions of these aerosol precursors with other PM constituents. Here we present a simple but thermodynamically consistent approach that expresses the chemical domains of sensitivity of aerosol particulate matter to NH3 and HNO3 availability in terms of aerosol pH and liquid water content. From our analysis, four policy-relevant regimes emerge in terms of sensitivity: (i) NH3 sensitive, (ii) HNO3 sensitive, (iii) NH3 and HNO3 sensitive, and (iv) insensitive to NH3 or HNO3. For all regimes, the PM remains sensitive to nonvolatile precursors, such as nonvolatile cations and sulfate. When this framework is applied to ambient measurements or predictions of PM and gaseous precursors, the “chemical regime” of PM sensitivity to NH3 and HNO3 availability is directly determined. The use of these regimes allows for novel insights, and this framework is an important tool to evaluate chemical transport models. With this extended understanding, aerosol pH and associated liquid water content naturally emerge as previously ignored state parameters that drive PM formation.	2020-03-18	Atmospheric Chemistry and Physics
10.1038/s41565-023-01417-z	Berry curvature dipole generation and helicity-to-spin conversion at symmetry-mismatched heterointerfaces	The Berry curvature dipole (BCD) is a key parameter that describes the geometric nature of energy bands in solids. It defines the dipole-like distribution of Berry curvature in the band structure and plays a key role in emergent nonlinear phenomena. The theoretical rationale is that the BCD can be generated at certain symmetry-mismatched van der Waals heterointerfaces even though each material has no BCD in its band structure. However, experimental confirmation of such a BCD induced via breaking of the interfacial symmetry remains elusive. Here we demonstrate a universal strategy for BCD generation and observe BCD-induced gate-tunable spin-polarized photocurrent at WSe2/SiP interfaces. Although the rotational symmetry of each material prohibits the generation of spin photocurrent under normal incidence of light, we surprisingly observe a direction-selective spin photocurrent at the WSe2/SiP heterointerface with a twist angle of 0 degrees, whose amplitude is electrically tunable with the BCD magnitude. Our results highlight a BCD-spin-valley correlation and provide a universal approach for engineering the geometric features of twisted heterointerfaces.	2023-06-15	Nature Nanotechnology
10.1016/j.jbiomech.2016.05.015	Multi-segment analysis of spinal kinematics during sit-to-stand in patients with chronic low back pain	While alterations in spinal kinematics have been frequently reported in patients with chronic low back pain (CLBP), a better characterization of the kinematics during functional activities is needed to improve our understanding and therapeutic solutions for this condition. Recent studies on healthy subjects showed the value of analyzing the spine during sit-to-stand transition (STST) using multi-segment models, suggesting that additional knowledge could be gained by conducting similar assessments in CLBP patients. The objectives of this study were to characterize three dimensional kinematics at the lower lumbar (LLS), upper lumbar (ULS), lower thoracic (LTS) and upper thoracic (UTS) joints during STST, and to test the hypothesis that CLBP patients perform this movement with smaller angle and angular velocity compared to asymptomatic controls. Ten CLBP patients (with minimal to moderate disability) and 11 asymptomatic controls with comparable demographics (52% male, 37.4 +/- 5.6 years old, 22.5 +/- 2.8 kg/m(2)) were tested using a three-dimensional camera-based system following previously proposed protocols. Characteristic patterns of movement were identified at the LLS, ULS and UTS joints in the sagittal plane only. Significant differences in the form of smaller sagittal-plane angle and smaller angular velocity in the patient group compared to the control group were observed at these three joints. This indicated a more rigid spine in the patient group and suggested that CLBP rehabilitation could potentially be enhanced by targeting movement deficits in functional activities. The results further recommended the analysis of STST kinematics using a pelvis-lumbar-thoracic model including lower and upper lumbar and thoracic segments. (C) 2016 Elsevier Ltd. All rights reserved.	2016-01-01	Journal Of Biomechanics
10.1103/PhysRevLett.109.047401	Mapping of Electron-Hole Excitations in the Charge-Density-Wave System 1T-TiSe2 Using Resonant Inelastic X-Ray Scattering	In high-resolution resonant inelastic x-ray scattering at the Ti L edge of the charge-density-wave system 1T-TiSe2, we observe sharp low energy loss peaks from electron-hole pair excitations developing at low temperature. These excitations are strongly dispersing as a function of the transferred momentum of light. We show that the unoccupied bands close to the Fermi level can effectively be probed in this broadband material. Furthermore, we extract the order parameter of the charge-density-wave phase from temperature-dependent measurements.	2012-01-01	Physical Review Letters
10.1051/0004-6361/201117402	The dynamical and chemical evolution of dwarf spheroidal galaxies with GEAR	We present the fully parallel chemo-dynamical Tree/SPH code GEAR, which allows us to perform high resolution simulations with detailed chemical diagnostics. Starting from the public version of Gadget-2, we included the complex treatment of the baryon physics: gas cooling, star formation law, chemical evolution, and supernova feedback. We qualified the performances of GEAR in the case of dwarf spheroidal galaxies (dSphs) galaxies. Our code GEAR conserves the total energy budget of the systems to better than 5% over 14 Gyr and provides an excellent convergence of the results with numerical resolution. We showed that models of dSphs in a static Euclidean space, where the expansion of the universe is neglected are valid. In addition, we tackled some existing open questions in the field, such as the stellar mass fraction of dSphs and its link to the predicted dark matter halo mass function, the effect of supernova feedback, the spatial distribution of the stellar populations, and the origin of the diversity in star formation histories and chemical abundance patterns. Strong supernova-driven winds seem incompatible with the observed metallicities and luminosities. Despite newly formed stars being preferentially found in the galaxy central parts, turbulent motions in the gas can quickly erase any metallicity gradient. The diversity in properties of dSph are related to a range of total masses, as well as a range of dispersion in the central densities, which is also seen in the halos emerging from a Lambda CDM cosmogony.	2012-01-01	Astronomy & Astrophysics
10.3390/su11236839	On the Design of a Youth-Led, Issue-Based, Crowdsourced Global Monitoring Framework for the SDGs	In this paper, we propose a novel methodology and design to contribute towards the achievement of the 17 Sustainable Development Goals (SDGs) adopted by member states of the United Nations for a better and more sustainable future for all. We particularly focus on achieving SDG 4.7—using education to ensure all learners acquire the knowledge and skills needed to promote sustainable development. We describe the design of a crowdsourced approach to monitor issues at a local level, and then use the insights gained to indicate how learning can be achieved by the entire community. We begin by encouraging local communities to identify issues that they are concerned about, with an assumption that any issue identified will fall within the purview of the 17 SDGs. Each issue is then tagged with a plurality of actions taken to address it. Finally, we tag the positive or negative changes in the issue as perceived by members of the local community. This data is used to broadly indicate quantitative measures of community learning when solving a societal problem, in turn telling us how SDG 4.7 is being achieved. The paper describes the design of a unique, youth-led, technology-based, bottom-up approach, applicable to communities across the globe, which can potentially ensure transgressive learning through participation of and monitoring by the local community leading to sustainable development	2019-12-02	Sustainability
10.3233/JAD-210534	Alzheimer's Disease Biomarkers in Idiopathic Normal Pressure Hydrocephalus: Linking Functional Connectivity and Clinical Outcome	Background: Alzheimer's disease (AD) pathology impacts the response to treatment in patients with idiopathic normal pressure hydrocephalus (iNPH), possibly through changes in resting-state functional connectivity (rs-FC).	2021-01-01	Journal Of Alzheimers Disease
10.1515/crelle-2019-0041	On the asymptotic behavior of the solutions to parabolic variational inequalities	We consider various versions of the obstacle and thin-obstacle problems, we interpret them as variational inequalities, with non-smooth constraint, and prove that they satisfy a new constrained Lojasiewicz inequality. The difficulty lies in the fact that, since the constraint is non-analytic, the pioneering method of L. Simon ([22]) does not apply and we have to exploit a better understanding on the constraint itself. We then apply this inequality to two associated problems. First we combine it with an abstract result on parabolic variational inequalities, to prove the convergence at infinity of the strong global solutions to the parabolic obstacle and thin-obstacle problems to a unique stationary solution with a rate. Secondly, we give an abstract proof, based on a parabolic approach, of the epiperimetric inequality, which we then apply to the singular points of the obstacle and thin-obstacle problems.	2020-11-01	Journal Fur Die Reine Und Angewandte Mathematik
10.1002/lsm.20912	Photodynamic Therapy Selectively Enhances Liposomal Doxorubicin Uptake in Sarcoma Tumors to Rodent Lungs	Background: In specific conditions, photodynamic therapy (PDT) can enhance the distribution of macromolecules across the endothelial barrier in solid tumors. It was recently postulated that tumor neovessels were more responsive to PDT than the normal vasculature. We hypothesized that Visudyne (R)-mediated PDT could selectively increase liposomal doxorubicin (Liporubicin (TM)) uptake in sarcoma tumors to rodent lungs while sparing the normal surrounding tissue.	2010-01-01	Lasers In Surgery And Medicine
10.1016/j.nbt.2012.05.005	Protein tag-mediated conjugation of oligonucleotides to recombinant affinity binders for proximity ligation	While antibodies currently play a dominant role as affinity reagents in biological research and for diagnostics, a broad range of recombinant proteins are emerging as promising alternative affinity reagents in detection assays and quantification. DNA-mediated affinity-based assays, such as immuno-PCR and proximity ligation assays (PLA), use oligonucleotides attached to affinity reagents as reporter molecules. Conjugation of oligonucleotides to affinity reagents generally employs chemistries that target primary amines or cysteines. Because of the random nature of these processes neither the number of oligonucleotides conjugated per molecule nor their sites of attachment can be accurately controlled for affinity reagents with several available amines and cysteines. Here, we present a straightforward and convenient approach to functionalize recombinant affinity reagents for PLA by expressing the reagents as fusion partners with SNAP protein tags. This allowed us to conjugate oligonucleotides in a site-specific fashion, yielding precisely one oligonucleotide per affinity reagent. We demonstrate this method using designed ankyrin repeat proteins (DARPins) recognizing the tumor antigen HER2 and we apply the conjugates in different assay formats. We also show that SNAP or CLIP tags, expressed as fusion partners of transfected genes, allow oligonucleotide conjugations to be performed in fixed cells, with no need for specific affinity reagents. The approach is used to demonstrate induced interactions between the fusion proteins FKBP and FRB by allowing the in situ conjugated oligonucleotides to direct the production of templates for localized rolling circle amplification reactions.	2013-01-01	New Biotechnology
10.1002/cpa.22033	Emergence of Concentration Effects in the Variational Analysis of the N-Clock Model	We investigate the relationship between the N-clock model (also known as planar Potts model or DOUBLE-STRUCK CAPITAL ZN-model) and the XY model (at zero temperature) through a Gamma-convergence analysis of a suitable rescaling of the energy as both the number of particles and N diverge. We prove the existence of rates of divergence of N for which the continuum limits of the two models differ. With the aid of Cartesian currents we show that the asymptotics of the N-clock model in this regime features an energy that may concentrate on geometric objects of various dimensions. This energy prevails over the usual vortex-vortex interaction energy. (c) 2021 The Authors. Communications on Pure and Applied Mathematics published by Wiley Periodicals LLC.	2022-01-01	Communications On Pure And Applied Mathematics
10.1038/ncomms2108	Ultrafast optical demagnetization manipulates nanoscale spin structure in domain walls	During ultrafast demagnetization of a magnetically ordered solid, angular momentum has to be transferred between the spins, electrons, and phonons in the system on femto-and picosecond timescales. Although the intrinsic spin-transfer mechanisms are intensely debated, additional extrinsic mechanisms arising due to nanoscale heterogeneity have only recently entered the discussion. Here we use femtosecond X-ray pulses from a free-electron laser to study thin film samples with magnetic domain patterns. We observe an infrared-pump-induced change of the spin structure within the domain walls on the sub-picosecond timescale. This domain-topography-dependent contribution connects the intrinsic demagnetization process in each domain with spin-transport processes across the domain walls, demonstrating the importance of spin-dependent electron transport between differently magnetized regions as an ultrafast demagnetization channel. This pathway exists independent from structural inhomogeneities such as chemical interfaces, and gives rise to an ultrafast spatially varying response to optical pump pulses.	2012-01-01	Nature Communications
10.1103/PhysRevLett.124.108001	Self-Propulsion of Active Colloids via Ion Release: Theory and Experiments	We study the self-propulsion of a charged colloidal particle that releases ionic species using theory and experiments. We relax the assumptions of thin Debye length and weak nonequilibrium effects assumed in classical phoretic models. This leads to a number of unexpected features that cannot be rationalized considering the classic phoretic framework: an active particle can reverse the direction of motion by increasing the rate of ion release and can propel even with zero surface charge. Our theory predicts that there are optimal conditions for self-propulsion and a novel regime in which the velocity is insensitive to the background electrolyte concentration. The theoretical results quantitatively capture the salt-dependent velocity measured in our experiments using active colloids that propel by decomposing urea via a surface enzymatic reaction.	2020-03-13	Physical Review Letters
10.1002/aoc.5531	Catalytic and antibacterial properties of 3-dentate carboxamide Pd/Pt complexes obtained via a benign route	The complexes Pd-II(qcq)(OAc) and Pt-II(qcq)Cl have been synthesized using environmentally benign synthesized ligands and characterized by elemental analyses: Fourier transform infrared spectroscopy, UV-visible spectroscopy, H-1 NMR spectroscopy, and X-ray diffraction. The catalytic activity of the complex was assessed, in different media, for the Mizoroki-Heck coupling reaction for typical aryl halides and terminal olefins under aerobic conditions. Since the base and the solvent were found to influence the efficiency of the reaction, reaction conditions, temperature, time, and the amount of K3PO4 and a mixture of H2O/PEG, were optimized. We found, for the Mizoroki-Heck reaction coupling less reactive aryl chloride derivatives with olefins, promising activity for palladium catalysts. The electrochemical behavior of Hqcq and the Pd(II) complex was investigated by cyclic voltammetry and irreversible Pd-II/I reductions were observed. Hqcq and the Pd(II) and Pt(II) complexes were also screened for their in vitro antibacterial activity. They showed promising antibacterial activity comparable to that of the antibiotic penicillin.	2020-02-03	Applied Organometallic Chemistry
10.1016/j.inffus.2024.102322	FRCSyn-onGoing: Benchmarking and comprehensive evaluation of real and synthetic data to improve face recognition systems	This article presents FRCSyn-onGoing, an ongoing challenge for face recognition where researchers can easily benchmark their systems against the state of the art in an open common platform using large-scale public databases and standard experimental protocols. FRCSyn-onGoing is based on the Face Recognition Challenge in the Era of Synthetic Data (FRCSyn) organized at WACV 2024. This is the first face recognition international challenge aiming to explore the use of real and synthetic data independently, and also their fusion, in order to address existing limitations in the technology. Specifically, FRCSyn-onGoing targets concerns related to data privacy issues, demographic biases, generalization to unseen scenarios, and performance limitations in challenging scenarios, including significant age disparities between enrollment and testing, pose variations, and occlusions. To enhance face recognition performance, FRCSyn-onGoing strongly advocates for information fusion at various levels, starting from the input data, where a mix of real and synthetic domains is proposed for specific tasks of the challenge. Additionally, participating teams are allowed to fuse diverse networks within their proposed systems to improve the performance. In this article, we provide a comprehensive evaluation of the face recognition systems and results achieved so far in FRCSyn-onGoing. The results obtained in FRCSynonGoing, together with the proposed public ongoing benchmark, contribute significantly to the application of synthetic data to improve face recognition technology.	2024-03-06	Information Fusion
10.1109/JSSC.2019.2894360	Design of an Always-On Deep Neural Network-Based 1-mu W Voice Activity Detector Aided With a Customized Software Model for Analog Feature Extraction	This paper presents an ultra-low-power voice activity detector (VAD). It uses analog signal processing for acoustic feature extraction (AFE) directly on the microphone output, approximate event-driven analog-to-digital conversion (ED-ADC), and digital deep neural network (DNN) for speech/non-speech classification. New circuits, including the low-noise amplifier, bandpass filter, and full-wave rectifier contribute to the more than 9x normalized power/channel reduction in the feature extraction front-end compared to the best prior art. The digital DNN is a three-hidden-layer binarized multilayer perceptron (MLP) with a 2-neuron output layer and a 48-neuron input layer that receives parallel event streams from the ED-ADCs. To obtain the DNN weights via off-line training, a customized front-end model written in python is constructed to accelerate feature generation in software emulation, and the model parameters are extracted from Spectre simulations. The chip, fabricated in 0.18-mu m CMOS, has a core area of 1.66 x 1.52 mm(2) and consumes 1 mu W. The classification measurements using the 1-hour 10-dB signal-to-noise ratio audio with restaurant background noise show a mean speech/non-speech hit rate of 84.4%/85.4% with a 1.88%/4.65% 1-sigma variation across ten dies that are all loaded with the same weights.	2019-06-01	Ieee Journal Of Solid-State Circuits
10.1021/ja504126z	Bowl Inversion of Surface-Adsorbed Sumanene	Bowl-shaped pi-conjugated compounds offer the possibility to study curvature-dependent host-guest interactions and chemical reactivity in ideal model systems. For surface-adsorbed pi bowls, however, only conformations with the bowl opening pointing away from the surface have been observed so far. Here we show for sumanene on Ag(111) that both bowl-up and bowl-down conformations can be stabilized. Analysis of the molecular layer as a function of coverage reveals an unprecedented structural phase transition involving a bowl inversion of one-third of the molecules. On the basis of scanning tunneling microscopy (STM) and complementary atomistic simulations, we develop a model that describes the observed phase transition in terms of a subtle interplay between inversion-dependent adsorption energies and intermolecular interactions. In addition, we explore the coexisting bowl-up and -down conformations with respect to host-guest binding of methane. STM reveals a clear energetic preference for methane binding to the concave face of sumanene.	2014-01-01	Journal Of The American Chemical Society
10.1016/j.mee.2009.03.086	Investigation of oxidation-induced strain in a top-down Si nanowire platform	In this paper, we investigate the effect of different process parameters on oxidation-induced strain (OIS) into a doubly-clamped silicon nanowire FET to control and finally, enhance carrier mobility. Spacer technology together with sacrificial thermal oxidation were used to fabricate ≈100 nm wide Si NWs. The built-in tensile stress in the Si NWs was measured using micro-Raman spectroscopy and a maximum of 2.6 GPa was found.	2009-01-01	Microelectronic Engineering
10.1016/0165-1684(84)90012-4	Multi-dimensional subband coding: some theory and algorithms	A system is proposed in order to split a multi-dimensional signal into N sub-bands, which are then subsampled by N. Subsequent upsampling and filtering allows the recovery of the original signal. Main features are a good bandpass characteristic of the channels, automatic aliasing cancellation and spectral invariance of the overall system. The one dimensional case, known as the quadrature mirrir filter (QMF, [1]), is generalized for both the separable and the non-separable case. A parallel implementation, based on pseudo-QMF filters, is presented as an efficient way to split a signal into equal sub-bands.	1984-01-01	Signal Processing
10.1038/s41524-024-01248-z	The rule of four: anomalous distributions in the stoichiometries of inorganic compounds	Why are materials with specific characteristics more abundant than others? This is a fundamental question in materials science and one that is traditionally difficult to tackle, given the vastness of compositional and configurational space. We highlight here the anomalous abundance of inorganic compounds whose primitive unit cell contains a number of atoms that is a multiple of four. This occurrence-named here the rule of four-has to our knowledge not previously been reported or studied. Here, we first highlight the rule's existence, especially notable when restricting oneself to experimentally known compounds, and explore its possible relationship with established descriptors of crystal structures, from symmetries to energies. We then investigate this relative abundance by looking at structural descriptors, both of global (packing configurations) and local (the smooth overlap of atomic positions) nature. Contrary to intuition, the overabundance does not correlate with low-energy or high-symmetry structures; in fact, structures which obey the rule of four are characterized by low symmetries and loosely packed arrangements maximizing the free volume. We are able to correlate this abundance with local structural symmetries, and visualize the results using a hybrid supervised-unsupervised machine learning method.	2024-04-12	Npj Computational Materials
10.1016/j.colsurfb.2017.05.013	Scaffold requirements for periodontal regeneration with enamel matrix derivative proteins	Periodontitis affects the attachment of natural teeth, and infection or inflammation associated with periodontitis may affect peri-implant tissues. Enamel matrix derivative (EMD) proteins provide stimulation for self-regeneration of the damaged tissue when applied to wide intrabony defects as part of a mixture with bone graft material. As a first step of the process enhancing cell proliferation and ligament formation, we demonstrated that EMD protein precipitation depends strongly on the physical and chemical characteristics of the bone grafts used in the mixture. To guarantee optimum protein-stimulated self regulation, the pH of the initial EMD formulation must therefore be adjusted between 3.9 and 4.2 in order to compensate the change in pH induced by the bone graft. Moreover, the interaction between the two components resulted in precipitates of different shape and size differently covering the grafts. This outcome might potentially have clinical implications on cell attachment and periodontal ligament extension, which deserve further in vitro and in vivo tests. (C) 2017 Elsevier B.V. All rights reserved.	2017-01-01	Colloids And Surfaces B-Biointerfaces
10.1109/TCSII.2014.2387652	A Fully-Integrated IC with 0.85-uW/Channel Consumption for Epileptic iEEG Detection	Feature extraction from a multichannel compressed neural signal is introduced in this brief. Compressive sensing (CS) is an efficient method for reducing the transmission data rate of sparse biological signals and lowering the power consumption of resource-constrained sensor nodes. However, recovering the original signal from compressed measurements is typically achieved by relatively complex and optimization-based algorithms, which is hardly suitable for real-time applications. The previously proposed multichannel CS scheme enables the area-efficient implementation of CS. In this brief, a low-power feature extraction method based on line length is directly applied in the compressed domain. This approach exploits the spatial sparsity of the signals recorded by adjacent electrodes of a sensor array and detects the seizure onset for every sixteen channels of the array. The proposed circuit architecture is implemented in a UMC 0.18-μm CMOS technology. Extensive performance analysis and design optimization enable a low-power and compact implementation. The proposed feature extractor reaches a perfect sensitivity of 100% for 420 h of clinical data containing 23 seizures from four patients, with an average false alarm rate of 0.34 h-1 for artifact-free channels, consuming 0.85 μW of power/channel at a compression rate of 16.	2015-01-01	IEEE Transactions on Circuits and Systems II: Express Briefs
10.1002/cphc.201800863	Superweak Coordinating Anion as Superstrong Enhancer of Cyanine Organic Semiconductor Properties	The superweak tetrakis(nonafluoro-tert-butoxy)aluminate coordinating anion was employed to introduce pseudo-gas-phase conditions to the 2-[5-(1,3-dihydro-1,3,3-trimethyl-2H-indol-2-ylidene)-1,3-pentadien-1-yl]-1,3,3-trimethyl-3H-indolium chromophore. The resulting formation of a photoactive organic-inorganic hybrid salt has led to a highly stabilized excited state of the organic chromophore mainly due to the minimized lattice energy and Coulomb interactions. These highly beneficial features caused by the well dispersed negative charge of the anion have led to an enhanced neat spin-casted film fluorescence intensity, prolonged fluorescence lifetime, smooth thin film surfaces and a record power photovoltaic efficiency of 3.8 % when compared to organic salts of this particular chromophore containing anions with localised negative charge. Clear evidence is given that a superweak coordinating anion is an emerging key parameter in cyanine dye photochemistry. This approach can be seen as a general guideline to prepare highly efficient ionic dyes for organic semiconductor applications.	2018-12-19	Chemphyschem
10.1002/adma.202205027	Combined Vacuum Evaporation and Solution Process for High-Efficiency Large-Area Perovskite Solar Cells with Exceptional Reproducibility	Organic-inorganic hybrid perovskites exhibit outstanding performances in perovskite solar cells (PSCs). However, the complex solution chemistry of perovskites precursors renders it difficult to prepare large-area devices in a reproducible way, which is a prerequisite for the technology to make an impact beyond lab scale. Vacuum processing, instead, is an established technology for large-scale coating of thin films. However, with respect to the hybrid perovskites it is highly challenging due to the high vapor pressure of the organic ammonium halide. In this work, vacuum evaporation of lead iodide and solution processing of organic ammonium halide is combined to produce large-area homogeneous perovskite films with large grains in a highly reproducible way. The resulting PSCs achieve a power conversion efficiency (PCE) of 24.3% (certified 23.9%) on small area (0.10 cm(2)), 24.0% (certified 23.7%) on large area (1 cm(2)) and 20.0% for minimodule (16 cm(2)), and maintain 90% of its initial efficiency after 1000 h 1-sun operation. The vacuum evaporation prevents advert environmental effects on lead halide formation and guarantees a reproducible fabrication of high-quality large-area perovskite films, which opens a promising way for large-scale fabrication of perovskite optoelectronics.	2023-02-17	Advanced Materials
10.1002/chem.201702013	Post-Synthesis Amine Borane Functionalization of a Metal-Organic Framework and Its Unusual Chemical Hydrogen Release Phenomenon	A novel strategy for post-synthesis amine borane functionalization of MOFs under gas-solid phase transformation, utilizing gaseous diborane, is reported. The covalently confined amine borane derivative decorated on the framework backbone is stable when preserved at low temperature, but spontaneously liberates soft chemical hydrogen at room temperature, leading to the development of an unusual borenium type species (-NH=BH2+) ion-paired with a hydroborate anion. Furthermore, the unsaturated amino borane (-NH=BH2) and the mu-iminodiborane (-mu-NHB2H5) were detected as final products. A combination of DFT based molecular dynamics simulations and solid state NMR spectroscopy, utilizing isotopically enriched materials, were undertaken to unequivocally elucidate the mechanistic pathways for H-2 liberation.	2017-01-01	Chemistry-A European Journal
10.1007/Jhep07(2012)133	Measurement of the isospin asymmetry in B -> K-(*)mu(+)mu(-) decays	The isospin asymmetries of B -> K-(*)mu(+)mu(-) decays and the partial branching fractions of B-0 -> K-0 mu(+)mu(-) and B+ -> K*+mu(+)mu(-) are measured as a function of the di-muon mass squared q(2) using an integrated luminosity of 1.0 fb(-1) collected with the LHCb detector. The B -> K mu(+)mu(-) isospin asymmetry integrated over q(2) is negative, deviating from zero with over 4 sigma significance. The B -> K*mu(+)mu(-) decay measurements are consistent with the Standard Model prediction of negligible isospin asymmetry. The observation of the decay B0 -> K-s(0)mu(+)mu(-) is reported with 5.7 sigma significance. Assuming that the branching fraction of B-0 -> K-0 mu(+)mu(-) is twice that of B-0 -> K-s(0)mu(+)mu(-), the branching fractions of B-0 -> K-0 mu(+)mu(-) and B -> K*(+)mu(+)mu(-) it are found to be (0.31(-0.06)(+0.07)) x 10(-6) and (1.16 +/- 0.19) x 10(-6), respectively.	2012-01-01	Journal Of High Energy Physics
10.1016/j.visres.2005.03.021	Attention and feature integration in the feature inheritance effect	Features of neighboring elements are not processed independently. Often, it is assumed that nearby features are integrated by a (pre-attentive) pooling mechanism. Here, we show that in the feature inheritance effect some features are integrated across space whereas others are not. This result may be partly explained by a very focused spatial attention. Our findings challenge models based on a simple pooling mechanism.	2005-01-01	Vision research
10.1051/jp4:1998906	Influence of processing parameters on characteristics of sol-gel derived PLZT thin films	PLZT x/65/35 (x = 4, 8, 10) thin films were prepared by the acetic-acid based chemical solution deposition processing from lead tetraacetate, lanthanum nitrate and zirconium and titanium propoxides. Introducing top layer of PLZT with large PbO excess can prevent surface pyrochlore phase formation. It is further shown that although lead is depleted from PLZT because of the reaction with the substrate, perovskite phase is retained as a consequence of a large lead-oxide content throughout the film.	1998-01-01	Journal De Physique Iv
